Restaurant_Info_ID,Restaurant_Name,Rating,Review_Count,Price,Restaurant_Address,Restaurant_City,Zip_Code,Latitude,Longitude,Categories,Inspection_Info_ID,Inspection_date,Score,Grade,Population_Density_per_sq_mi,Median_Household_Income,Median_Home_Value,Employment_Rate,Total_Population,Total_Employer_Establishments
8739,Al Wazir Chicken,4.1,658,$$,6051 Hollywood Blvd,Los Angeles,90028,34.10203,-118.32191,"Middle Eastern, Mediterranean, Fast Food",7470,2024-09-10,90.0,A,21402.0,52814,593900.0,89.52,29887,1728
8739,Al Wazir Chicken,4.1,658,$$,6051 Hollywood Blvd,Los Angeles,90028,34.10203,-118.32191,"Middle Eastern, Mediterranean, Fast Food",7510,2024-09-10,90.0,A,21402.0,52814,593900.0,89.52,29887,1728
8742,Cafe Rich,4.5,155,$$,3277 N San Fernando Rd,Los Angeles,90065,34.117489,-118.248203,"Mediterranean, Hookah Bars, Cocktail Bars",2952,2024-09-25,97.0,A,8074.0,80386,453400.0,92.1,46432,942
8743,Anar Indian Restaurant,3.8,587,$$,1807 N Cahuenga Blvd,Los Angeles,90028,34.10412,-118.330443,Indian,6146,2024-09-16,94.0,A,21402.0,52814,593900.0,89.52,29887,1728
8744,The Shrimp Lover,3.8,637,$$,5112 Hollywood Blvd,Hollywood,90027,34.1014695,-118.3011621588967,"Cajun/Creole, Seafood, Thai",5421,2024-08-29,90.0,A,5473.0,78356,793200.0,92.05,44678,1744
8747,Agra Cafe,3.8,677,$$,4325 W Sunset Blvd,Los Angeles,90029,34.0956702,-118.2831484,Indian,4442,2025-03-11,96.0,A,25212.0,50822,511100.0,89.92,35037,628
8747,Agra Cafe,3.8,677,$$,4325 W Sunset Blvd,Los Angeles,90029,34.0956702,-118.2831484,Indian,4527,2025-03-11,96.0,A,25212.0,50822,511100.0,89.92,35037,628
8748,Fresh Brothers - Hollywood,4.0,527,$$,1923 N Bronson Ave,Los Angeles,90068,34.10588071190593,-118.3184573,"Pizza, Salad, Chicken Wings",237,2024-10-01,94.0,A,3044.0,90733,952100.0,91.97,21127,1040
8753,RoRo's Chicken,4.1,658,$$,6660 W Sunset Blvd,Los Angeles,90028,34.0974515,-118.33567241391776,"Mediterranean, Lebanese, Chicken Shop",5800,2024-09-17,97.0,A,21402.0,52814,593900.0,89.52,29887,1728
8754,Ike's Love & Sandwiches,3.9,100,$$,1517 Vine St,Hollywood,90028,34.0986348,-118.3268778,Sandwiches,896,2024-11-18,96.0,A,21402.0,52814,593900.0,89.52,29887,1728
8756,Robert's Russian Cuisine,4.2,327,$$,1603 N La Brea Ave,Los Angeles,90028,34.0999077,-118.3448671,"Russian, Armenian, Ukrainian",6501,2025-02-19,93.0,A,21402.0,52814,593900.0,89.52,29887,1728
8758,Harolds Chicken & Bar,3.3,499,$$,6523 Hollywood Blvd,Los Angeles,90028,34.101762,-118.331819,"Bars, Chicken Shop",4242,2025-03-17,96.0,A,21402.0,52814,593900.0,89.52,29887,1728
8758,Harolds Chicken & Bar,3.3,499,$$,6523 Hollywood Blvd,Los Angeles,90028,34.101762,-118.331819,"Bars, Chicken Shop",4390,2025-03-17,96.0,A,21402.0,52814,593900.0,89.52,29887,1728
